Instrument,Qty.,Buy Price,LTP,P&L,Invested,Curr value,Trade Date
Salasar Techno Engg,160,42.00,76.50,5520.00,6720.00,12240.00,23-04-2026
Salasar Techno Engg,160,48.50,76.50,4480.00,7760.00,12240.00,02-05-2026
Salasar Techno Engg,160,61.20,76.50,2448.00,9792.00,12240.00,11-06-2026
Ashoka Buildcon,100,131.00,113.90,-1710.00,13100.00,11390.00,22-05-2026
Ashoka Buildcon,100,130.20,113.90,-1630.00,13020.00,11390.00,25-05-2026
Ashoka Buildcon,100,129.50,113.90,-1560.00,12950.00,11390.00,28-05-2026
Ashoka Buildcon,100,128.80,113.90,-1490.00,12880.00,11390.00,31-05-2026
Ashoka Buildcon,100,128.00,113.90,-1410.00,12800.00,11390.00,03-06-2026
Ashoka Buildcon,100,127.20,113.90,-1330.00,12720.00,11390.00,06-06-2026
Ashoka Buildcon,100,126.40,113.90,-1250.00,12640.00,11390.00,09-06-2026
Ashoka Buildcon,100,125.60,113.90,-1170.00,12560.00,11390.00,12-06-2026
Ashoka Buildcon,100,124.80,113.90,-1090.00,12480.00,11390.00,15-06-2026
Ashoka Buildcon,100,124.00,113.90,-1010.00,12400.00,11390.00,18-06-2026
Ashoka Buildcon,100,123.20,113.90,-930.00,12320.00,11390.00,21-06-2026
Ashoka Buildcon,100,122.40,113.90,-850.00,12240.00,11390.00,24-06-2026
Ashoka Buildcon,100,121.60,113.90,-770.00,12160.00,11390.00,27-06-2026
Ashoka Buildcon,100,120.80,113.90,-690.00,12080.00,11390.00,30-06-2026
Ashoka Buildcon,100,120.00,113.90,-610.00,12000.00,11390.00,03-07-2026
Ashoka Buildcon,100,119.20,113.90,-530.00,11920.00,11390.00,06-07-2026
Larsen & Toubro,120,287.00,340.00,6360.00,34440.00,40800.00,13-09-2025
Larsen & Toubro,80,301.00,340.00,3120.00,24080.00,27200.00,03-11-2025
AGI Greenpac,10,588.30,706.00,1177.00,5883.00,7060.00,27-05-2026
AGI Greenpac,10,591.00,706.00,1150.00,5910.00,7060.00,27-05-2026
Bajaj Finance,120,895.00,1087.00,23040.00,107400.00,130440.00,19-05-2026
HDFC Bank,200,772.00,727.00,-9000.00,154400.00,145400.00,19-05-2026
Bank of Baroda,100,290.00,251.00,-3900.00,29000.00,25100.00,09-02-2026
Bank of Baroda,200,250.00,251.00,200.00,50000.00,50200.00,30-03-2026
DAM Capital Advisors,50,145.98,146.15,8.50,7299.00,7307.50,12-08-2026
Bharat Coking Coal,80,215.00,231.00,1280.00,17200.00,18480.00,21-06-2026
Bharat Coking Coal,120,228.00,231.00,360.00,27360.00,27720.00,05-07-2026
